Reference,Value,Footprint,X,Y,Rotation,Side
J1,,library:usbc_16p,22.0000,1.3000,0.00,top
J2,,library:header_1x03_2.54mm,35.1500,21.4587,270.00,top
J3,,library:header_1x10_2.54mm,1.1733,13.6097,90.00,top
J4,,library:header_1x10_2.54mm,22.8619,28.7088,0.00,top
U2,,library:w25q16_soic8,16.1735,7.9183,0.00,top
Y1,12MHz,library:xtal_3225,9.2747,16.4800,90.00,top
U3,,library:ldo_sot23_5,28.0938,8.7110,90.00,top
C15,27pF,library:c_0603,4.9160,16.5604,0.00,top
C16,27pF,library:c_0603,12.7496,17.6516,90.00,top
R1,27,library:r_0603,23.9500,6.7700,90.00,top
R2,27,library:r_0603,20.9813,6.7903,90.00,top
R3,5.1k,library:r_0603,13.7300,1.3000,180.00,top
R4,5.1k,library:r_0603,29.2700,1.3000,0.00,top
C13,10uF,library:c_0603,33.3919,2.0680,0.00,top
C14,10uF,library:c_0603,25.4700,12.4000,0.00,top
C17,100nF,library:c_0603,29.3876,13.5837,90.00,top
R8,1k,library:r_0603,33.3138,7.7110,0.00,top
C12,100nF,library:c_0603,32.4152,15.1863,90.00,top
C1,100nF,library:c_0603,15.2762,24.3506,90.00,top
C2,100nF,library:c_0603,23.8850,24.4795,90.00,top
C3,100nF,library:c_0603,25.4215,20.6638,180.00,top
C4,100nF,library:c_0603,26.4064,24.3934,90.00,top
C5,100nF,library:c_0603,11.5300,12.4000,180.00,top
C6,100nF,library:c_0603,20.0777,24.1900,90.00,top
C9,100nF,library:c_0603,17.9867,23.5759,270.00,top
C10,1uF,library:c_0603,29.5070,22.2753,90.00,top
C11,2.2uF,library:c_0603,12.5551,22.0476,270.00,top
SW1,BOOT,library:sw_smd_4x4,6.7567,22.8108,90.00,top
SW2,RESET,library:sw_smd_4x4,6.7501,3.5944,270.00,top
R5,1k,library:r_0603,5.7421,13.5338,90.00,top
R6,10k,library:r_0603,9.3842,8.3633,0.00,top
R7,470,library:r_0603,25.3931,16.5775,0.00,top
C8,100nF,library:c_0603,8.6659,12.7454,270.00,top
D1,green,library:led_0603,29.3431,17.4175,90.00,top
C7,100nF,library:c_0603,19.3940,20.6645,0.00,top
U1,,library:rp2040_qfn56,18.0000,15.0000,0.00,top
